BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,NUMBER OF SALES,MINIMUM SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,MAXIMUM SALE PRICE,,
QUEENS,ROSEDALE,03-THREE FAMILY DWELLINGS,10,"480,000","747,648","795,000","925,000",,
QUEENS,SO. JAMAICA-BAISLEY PARK,01-ONE FAMILY DWELLINGS,262,"200,000","542,378","540,000","1,150,000",,
QUEENS,SO. JAMAICA-BAISLEY PARK,02-TWO FAMILY DWELLINGS,89,"250,000","769,187","820,000","1,099,710",,
QUEENS,SOUTH JAMAICA,01-ONE FAMILY DWELLINGS,142,"200,000","539,172","547,500","1,150,000",,
QUEENS,SOUTH JAMAICA,02-TWO FAMILY DWELLINGS,113,"225,000","715,595","740,000","1,090,000",,
QUEENS,SOUTH JAMAICA,03-THREE FAMILY DWELLINGS,12,"350,000","738,376","722,500","1,120,000",,
QUEENS,SOUTH OZONE PARK,01-ONE FAMILY DWELLINGS,188,"215,000","620,596","616,000","1,330,000",,
QUEENS,SOUTH OZONE PARK,02-TWO FAMILY DWELLINGS,111,"318,000","791,788","775,000","1,250,000",,
QUEENS,SOUTH OZONE PARK,03-THREE FAMILY DWELLINGS,7,"275,000","543,571","350,000","950,000",,
QUEENS,SPRINGFIELD GARDENS,01-ONE FAMILY DWELLINGS,219,"240,000","571,754","563,000","1,220,000",,
QUEENS,SPRINGFIELD GARDENS,02-TWO FAMILY DWELLINGS,112,"350,000","766,722","783,000","1,200,000",,
QUEENS,SPRINGFIELD GARDENS,03-THREE FAMILY DWELLINGS,5,"325,000","674,000","780,000","890,000",,
QUEENS,ST. ALBANS,01-ONE FAMILY DWELLINGS,293,"220,000","573,164","575,000","1,374,243",,
QUEENS,ST. ALBANS,02-TWO FAMILY DWELLINGS,114,"211,975","719,297","715,250","1,252,448",,
QUEENS,ST. ALBANS,03-THREE FAMILY DWELLINGS,5,"220,170","582,034","640,000","865,000",,
QUEENS,SUNNYSIDE,01-ONE FAMILY DWELLINGS,19,"397,000","963,895","972,000","1,388,000",,
QUEENS,SUNNYSIDE,02-TWO FAMILY DWELLINGS,26,"400,000","1,133,288","1,094,000","1,505,000",,
QUEENS,SUNNYSIDE,03-THREE FAMILY DWELLINGS,5,"955,000","1,319,000","1,250,000","1,920,000",,
QUEENS,WHITESTONE,01-ONE FAMILY DWELLINGS,179,"300,000","1,046,774","940,000","2,793,000",,
QUEENS,WHITESTONE,02-TWO FAMILY DWELLINGS,60,"400,000","1,234,393","1,280,000","1,970,000",,
QUEENS,WHITESTONE,03-THREE FAMILY DWELLINGS,4,"1,238,000","1,394,500","1,395,000","1,550,000",,
QUEENS,WOODHAVEN,01-ONE FAMILY DWELLINGS,127,"235,000","639,343","630,000","1,050,000",,
QUEENS,WOODHAVEN,02-TWO FAMILY DWELLINGS,113,"209,000","811,503","830,000","1,300,000",,
QUEENS,WOODHAVEN,03-THREE FAMILY DWELLINGS,15,"400,000","960,000","975,000","1,300,000",,
QUEENS,WOODSIDE,01-ONE FAMILY DWELLINGS,29,"395,000","825,508","850,000","1,070,000",,
QUEENS,WOODSIDE,02-TWO FAMILY DWELLINGS,31,"500,000","1,005,194","995,000","1,450,000",,
QUEENS,WOODSIDE,03-THREE FAMILY DWELLINGS,13,"495,000","1,175,195","1,379,000","1,648,156",,
,,,,,,,,,
