BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,NUMBER OF SALES,MINIMUM SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,MAXIMUM SALE PRICE
BROOKLYN,FLATBUSH-NORTH,01-ONE FAMILY DWELLINGS,29,"227,469","666,361","660,000","1,450,000"
BROOKLYN,FLATBUSH-NORTH,02-TWO FAMILY DWELLINGS,59,"354,900","822,490","780,000","1,875,000"
BROOKLYN,FLATBUSH-NORTH,03-THREE FAMILY DWELLINGS,13,"375,000","848,387","920,000","1,230,000"
BROOKLYN,FLATLANDS,01-ONE FAMILY DWELLINGS,53,"207,500","672,998","680,000","957,500"
BROOKLYN,FLATLANDS,02-TWO FAMILY DWELLINGS,37,"400,000","735,641","725,000","999,000"
BROOKLYN,FLATLANDS,03-THREE FAMILY DWELLINGS,4,"825,000","960,000","907,500","1,200,000"
BROOKLYN,FORT GREENE,01-ONE FAMILY DWELLINGS,5,"1,360,000","2,918,500","2,682,500","4,600,000"
BROOKLYN,FORT GREENE,02-TWO FAMILY DWELLINGS,24,"999,999","3,380,833","3,512,500","5,030,000"
BROOKLYN,FORT GREENE,03-THREE FAMILY DWELLINGS,13,"570,000","2,440,769","2,200,000","4,100,000"
BROOKLYN,GERRITSEN BEACH,01-ONE FAMILY DWELLINGS,95,"275,000","577,522","580,000","900,000"
BROOKLYN,GERRITSEN BEACH,02-TWO FAMILY DWELLINGS,11,"300,000","683,727","715,000","900,000"
BROOKLYN,GOWANUS,01-ONE FAMILY DWELLINGS,6,"1,454,000","2,209,000","2,100,000","3,100,000"
BROOKLYN,GOWANUS,02-TWO FAMILY DWELLINGS,26,"940,000","2,292,318","2,042,500","4,200,000"
BROOKLYN,GOWANUS,03-THREE FAMILY DWELLINGS,6,"1,380,000","1,898,333","1,845,000","2,875,000"
BROOKLYN,GRAVESEND,01-ONE FAMILY DWELLINGS,69,"200,500","883,106","870,000","2,015,000"
BROOKLYN,GRAVESEND,02-TWO FAMILY DWELLINGS,131,"350,000","1,093,374","999,000","1,830,000"
BROOKLYN,GRAVESEND,03-THREE FAMILY DWELLINGS,54,"495,000","1,383,636","1,457,500","2,242,000"
BROOKLYN,GREENPOINT,01-ONE FAMILY DWELLINGS,21,"975,000","2,177,643","1,715,000","4,900,000"
BROOKLYN,GREENPOINT,02-TWO FAMILY DWELLINGS,45,"990,000","1,974,356","1,850,000","4,195,000"
BROOKLYN,GREENPOINT,03-THREE FAMILY DWELLINGS,33,"450,000","1,956,153","1,850,000","4,400,000"
BROOKLYN,KENSINGTON,01-ONE FAMILY DWELLINGS,12,"700,000","1,285,885","1,325,061","1,875,000"
