BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,NUMBER OF SALES,MINIMUM SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,MAXIMUM SALE PRICE,,
STATEN ISLAND,TOMPKINSVILLE,03-THREE FAMILY DWELLINGS,1,"675,000","675,000","675,000","675,000",,
STATEN ISLAND,TOTTENVILLE,01-ONE FAMILY DWELLINGS,131,"275,000","713,676","650,000","3,089,000",,
STATEN ISLAND,TOTTENVILLE,02-TWO FAMILY DWELLINGS,92,"245,000","889,949","910,000","1,400,000",,
STATEN ISLAND,TRAVIS,01-ONE FAMILY DWELLINGS,54,"360,000","575,871","562,000","830,000",,
STATEN ISLAND,TRAVIS,02-TWO FAMILY DWELLINGS,5,"625,000","763,800","705,000","959,000",,
STATEN ISLAND,WEST NEW BRIGHTON,01-ONE FAMILY DWELLINGS,98,"200,000","555,648","549,878","1,175,000",,
STATEN ISLAND,WEST NEW BRIGHTON,02-TWO FAMILY DWELLINGS,54,"230,000","590,173","584,000","985,000",,
STATEN ISLAND,WESTERLEIGH,01-ONE FAMILY DWELLINGS,118,"225,456","607,892","605,000","1,125,000",,
STATEN ISLAND,WESTERLEIGH,02-TWO FAMILY DWELLINGS,47,"300,000","780,256","800,000","1,120,000",,
STATEN ISLAND,WILLOWBROOK,01-ONE FAMILY DWELLINGS,116,"245,666","625,932","606,250","1,400,000",,
STATEN ISLAND,WILLOWBROOK,02-TWO FAMILY DWELLINGS,40,"200,000","761,630","824,000","1,045,000",,
STATEN ISLAND,WILLOWBROOK,03-THREE FAMILY DWELLINGS,1,"738,000","738,000","738,000","738,000",,
STATEN ISLAND,WOODROW,01-ONE FAMILY DWELLINGS,85,"250,000","621,952","635,000","1,150,000",,
STATEN ISLAND,WOODROW,02-TWO FAMILY DWELLINGS,51,"219,973","807,187","780,000","1,282,995",,
STATEN ISLAND,WOODROW,03-THREE FAMILY DWELLINGS,1,"665,000","665,000","665,000","665,000",,
,,,,,,,,,
